mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.2086168130238851,0.05585218638526313,0.002362410227457682,0.0004785441336664853,0.9,2.0,0.0,700,5,0.05,0.6,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-0.04239382637176841,-0.019236963463368895,-0.014219788082569037,-0.02528352597256878,0.012270962934602003,71,-0.0002697853812909286,-0.00023340428081510822,-0.00020379487306827548,-0.00023566151172477079,2.698775169597824e-05
0.18684895833333334,0.05449977588999485,0.0025041898091634116,0.0006871160668986295,0.9,2.0,0.0,500,5,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-0.03818053294349479,-0.02211014890649709,-0.015242854518666207,-0.02517784545621936,0.009612226397357869,69,-0.00017720490016777854,-0.00024053886786635164,-0.00017342789250382546,-0.00019705722017931854,3.0784809142474176e-05
0.029609521230061848,0.01177415661150129,0.001817623774210612,7.65689555731435e-05,1.0,1.0,0.1,100,2,0.2,0.8,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-0.013690476407784799,-0.005196757497097185,-0.013916618210939877,-0.01093461737194062,0.004058329868824309,53,-0.007986111310310684,-0.004473639173856014,-0.003582881637108094,-0.005347544040424931,0.001900857731937975
0.07101845741271973,0.013162370728455178,0.0019614696502685547,0.00010482882915023485,1.0,0.5,0.5,300,2,0.05,0.8,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.03212968508402506,0.010828262341015344,0.002022902170817057,0.0003082451552069212,1.0,1.0,0.1,100,2,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.005593772388307272,-0.0113213050750173,-0.01020185129036979,0.003398924984631377,46,-0.007986111310310684,-0.006574067844905803,-0.005990425371353266,-0.006850201508856585,0.000837805841474523
0.05180748303731283,0.017963769526164457,0.0019820531209309897,0.00028170742235133307,0.9,0.5,0.0,100,3,0.01,0.8,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.027230486287070182,-0.014875029658322162,-0.012323824203174037,-0.01814311338285546,0.0065096042912907446,61,-0.003937109932303451,-0.004484869940578307,-0.004223399092778427,-0.004215126321886729,0.00022369858548202385
0.05483579635620117,0.017605248118725346,0.0018758773803710938,6.946318926016427e-05,0.8,1.0,0.1,200,2,0.03,0.6,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006940458777734447,-0.013066964442051757,-0.011232633209190332,0.0030456814021808895,58,-0.007986111310310684,-0.0048121870399538596,-0.004828481739373692,-0.005875593363212746,0.0014923763785931413
0.12299887339274089,0.03704973919742643,0.0020938714345296225,0.0001330518562940964,0.8,0.5,0.0,300,4,0.01,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-0.038772663048335494,-0.015339922108008355,-0.014301012262062405,-0.02280453247280208,0.011299136514942621,62,-0.0014033417557224686,-0.0020492578854383542,-0.0018329559429372348,-0.0017618518613660194,0.0002684445994599901
0.14676809310913086,0.022530695385811227,0.0021354357401529946,0.00029505936473366126,0.8,1.0,0.5,700,4,0.2,1.0,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 4, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.17251968383789062,0.049241555541268536,0.0021142164866129556,4.5497500734722155e-05,0.8,0.5,0.0,500,4,0.03,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.6}",-0.043252623742002824,-0.01838331276639585,-0.015375252647624758,-0.025670396385341143,0.012493015262818983,74,-0.00023231941138042908,-0.00026747092324110137,-0.00025137906656958256,-0.00025038980039703766,1.4367583470968069e-05
