Date,Price,Open,High,Low,Vol.,Change %
6/1/2009,4.8271,4.8835,4.9322,4.7503,,-1.27%
5/1/2009,4.889,4.5519,4.8944,4.5484,,7.39%
4/1/2009,4.5525,4.4451,4.584,4.4021,,2.44%
3/1/2009,4.4439,4.1919,4.5667,4.1349,,6.03%
2/1/2009,4.191,3.3992,4.33,3.3582,,22.96%
1/1/2009,3.4085,3.9617,4.1566,3.3967,,-14.07%
12/1/2008,3.9668,4.3201,4.4576,3.9465,,-8.05%
11/1/2008,4.3143,4.4343,4.4967,4.3033,,-2.59%
10/1/2008,4.4289,4.68,4.695,4.3587,,-5.35%
9/1/2008,4.679,4.848,4.863,4.628,,-3.67%
8/1/2008,4.8575,5.127,5.1455,4.84,,-5.27%
7/1/2008,5.128,5.149,5.208,5.066,,-0.49%
6/1/2008,5.1535,5.0905,5.1687,5.0503,,1.23%
5/1/2008,5.0911,5.09,5.1341,4.922,,-0.06%
4/1/2008,5.094,5.13,5.1751,5.072,,-0.80%
3/1/2008,5.135,5.026,5.162,4.898,,2.13%
2/1/2008,5.0278,4.9171,5.3144,4.826,,2.22%
1/1/2008,4.9186,4.9461,4.987,4.8278,,0.15%
12/1/2007,4.9114,4.9078,4.9114,4.9078,,-0.65%
11/1/2007,4.9437,4.9427,4.9437,4.9427,,0.85%
10/1/2007,4.9022,4.9007,4.9022,4.9007,,0.74%
9/1/2007,4.8663,4.8649,4.8663,4.8649,,-1.22%
8/1/2007,4.9264,4.9252,4.9264,4.9252,,1.90%
7/1/2007,4.8346,4.8333,4.8346,4.8333,,1.88%
6/1/2007,4.7455,4.7444,4.7455,4.7444,,0.41%
5/1/2007,4.7263,4.7253,4.7263,4.7253,,1.02%
4/1/2007,4.6787,4.6767,4.6787,4.6767,,-1.87%
3/1/2007,4.7679,4.7668,4.7679,4.7668,,-0.10%
2/1/2007,4.7726,4.7714,4.7726,4.7714,,0.29%
1/1/2007,4.7586,4.7573,4.7586,4.7573,,-1.30%
12/1/2006,4.8213,4.8194,4.8213,4.8194,,-1.08%
11/1/2006,4.874,4.873,4.874,4.873,,1.82%
10/1/2006,4.7871,4.786,4.7871,4.786,,0.86%
9/1/2006,4.7462,4.745,4.7462,4.745,,1.32%
8/1/2006,4.6845,4.6825,4.6845,4.6825,,6.09%
7/1/2006,4.4154,4.4138,4.4154,4.4138,,0.14%
6/1/2006,4.4093,4.4076,4.4093,4.4076,,-1.82%
5/1/2006,4.4909,4.4888,4.4909,4.4888,,-1.52%
4/1/2006,4.5603,4.5599,4.5603,4.5599,,-1.58%
3/1/2006,4.6337,4.6325,4.6337,4.6325,,-0.33%
2/1/2006,4.649,4.6478,4.649,4.6478,,-0.88%
1/1/2006,4.6904,4.6887,4.6904,4.6887,,0.85%
12/1/2005,4.6509,4.6497,4.6509,4.6497,,-0.08%
11/1/2005,4.6547,4.6529,4.6547,4.6529,,-0.78%
10/1/2005,4.6913,4.6897,4.6913,4.6897,,0.01%
9/1/2005,4.6909,4.6894,4.6909,4.6894,,-1.21%
8/1/2005,4.7485,4.7469,4.7485,4.7469,,-0.05%
7/1/2005,4.7507,4.7486,4.7507,4.7486,,0.73%
6/1/2005,4.7165,4.7128,4.7165,4.7128,,0.99%
5/1/2005,4.6701,4.6682,4.6701,4.6682,,-1.35%
4/1/2005,4.7341,4.7315,4.7341,4.7315,,-0.47%
3/1/2005,4.7564,4.7541,4.7564,4.7541,,1.16%
2/1/2005,4.7017,4.6991,4.7017,4.6991,,1.31%
1/1/2005,4.641,4.6387,4.641,4.6387,,-1.01%
12/1/2004,4.6883,4.6852,4.6883,4.6852,,1.42%
11/1/2004,4.6227,4.6206,4.6227,4.6206,,0.65%
10/1/2004,4.5927,4.5891,4.5927,4.5891,,-0.14%
